Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-315,Aluno-315,4M,4.0,Fase 5 (1° EM),4M,15,Feminino,2022,Pública,Ágata,6.0768703704,0.0,5.918518518666667,7.51,7.5,6.833333333333333,6.5,6.5,7.5,7.6275,5.0,-1,False
2024,RA-442,Aluno-442,4M,4.0,Fase 3 (7° e 8° ano),4M,13,Feminino,2022,Pública,Ágata,6.905439215666667,8.334,5.9151960783333335,5.635,7.5,5.0,4.5,7.0,3.5,7.8775,10.0,1,False
2024,RA-301,Aluno-301,4M,4.0,Fase 4 (9° ano),4M,15,Feminino,2021,Pública,Topázio,8.410830701766667,9.168,7.4947368423333325,7.51,8.020833333,9.0,10.0,9.0,8.0,8.21,10.0,0,False
2024,RA-1163,Aluno-1163,4M,4.0,Fase 4 (9° ano),4M,15,Masculino,2023,Pública,Topázio,8.6794789474,8.334,9.824561403666666,7.51,8.125,7.833333333333333,9.5,6.5,7.5,8.755,10.0,0,False
2024,RA-402,Aluno-402,4M,4.0,Fase 4 (9° ano),4M,14,Feminino,2021,Pública,Quartzo,5.683064814833333,7.5,3.074074074,6.26,6.354166667,4.166666666666667,3.0,3.5,6.0,6.1175,10.0,0,False
2024,RA-1589,Aluno-1589,4M,4.0,Fase 5 (1° EM),4M,15,Feminino,2024,Pública,Quartzo,5.260851851866667,0.0,6.259259259333334,7.51,7.5,2.5,3.0,2.0,,7.54,5.0,-1,False
2024,RA-1162,Aluno-1162,4M,4.0,Fase 4 (9° ano),4M,14,Feminino,2023,Pública,Ametista,7.473167836266667,7.917,9.135672514666666,6.26,6.875,5.666666666666667,4.0,7.5,5.5,7.0375,10.0,0,False
2024,RA-471,Aluno-471,4M,4.0,Fase 4 (9° ano),4M,14,Feminino,2021,Pública,Ágata,6.635847117766667,0.0,7.027568922333333,7.51,7.708333333,5.5,4.0,5.5,7.0,8.0425,10.0,0,False
2024,RA-416,Aluno-416,4M,4.0,Fase 3 (7° e 8° ano),4M,14,Masculino,2021,Privada - Programa de Apadrinhamento,Topázio,8.700808577033333,8.751,8.972709551666666,7.51,8.541666667,8.0,8.0,7.5,8.5,9.13,10.0,1,False
2024,RA-303,Aluno-303,4M,4.0,Fase 6 (2° EM),4M,16,Masculino,2021,Pública,Ágata,6.2443426900666665,8.751,3.9520467836666664,7.51,6.875,5.666666666666667,5.0,5.0,7.0,7.535,5.0,-2,False
